rating,sent_score,category
5,6,1
2,-6,0
4,7,1
4,4,0
4,-3,0
1,0,0
5,13,1
5,7,1
1,1,0
5,7,1
5,30,1
3,11,1
2,10,0
4,5,0
3,10,1
1,8,0
1,2,0
4,8,1
4,11,1
5,0,0
2,7,0
4,7,1
5,8,1
5,0,0
5,23,1
4,11,1
5,16,1
5,15,1
4,2,0
5,0,0
5,54,1
4,6,1
4,8,1
4,2,0
4,17,1
3,14,1
4,5,0
5,3,0
3,3,0
5,9,1
2,-8,0
5,16,1
5,8,1
3,18,1
1,0,0
1,-2,0
1,0,0
4,4,0
1,-3,0
4,4,0
4,13,1
4,-2,0
4,2,0
1,-1,0
2,9,0
4,8,1
3,16,1
3,-1,0
4,14,1
2,0,0
4,6,1
4,13,1
5,3,0
2,0,0
3,-2,0
2,38,0
5,3,0
5,2,0
4,12,1
5,7,1
3,16,1
4,3,0
5,24,1
4,3,0
5,2,0
5,28,1
4,5,0
5,16,1
5,0,0
5,19,1
4,7,1
4,2,0
4,8,1
5,0,0
3,9,1
5,21,1
5,3,0
5,6,1
5,45,1
5,-7,0
4,11,1
5,7,1
4,15,1
5,24,1
5,0,0
5,43,1
4,13,1
5,17,1
5,11,1
5,10,1
5,4,0
5,4,0
5,5,0
5,7,1
5,2,0
5,2,0
5,13,1
2,22,0
3,5,0
3,5,0
4,0,0
4,4,0
4,19,1
5,7,1
5,6,1
4,12,1
1,2,0
4,10,1
2,19,0
1,-14,0
3,15,1
4,3,0
1,-19,0
4,14,1
5,10,1
5,0,0
5,5,0
5,6,1
3,-2,0
3,5,0
5,2,0
1,-3,0
4,11,1
1,11,0
5,9,1
1,5,0
3,7,1
1,-3,0
2,3,0
2,8,0
4,5,0
3,18,1
1,-3,0
1,4,0
4,10,1
5,9,1
5,18,1
5,5,0
4,8,1
2,4,0
4,21,1
1,1,0
5,31,1
5,9,1
4,22,1
4,9,1
5,16,1
5,0,0
3,7,1
4,15,1
5,68,1
4,12,1
1,-3,0
4,8,1
4,19,1
4,11,1
4,11,1
2,-1,0
4,6,1
4,20,1
4,8,1
2,4,0
3,11,1
2,2,0
1,2,0
4,19,1
2,-6,0
2,5,0
4,13,1
4,10,1
4,22,1
4,4,0
1,-13,0
4,13,1
1,-6,0
5,16,1
5,20,1
3,3,0
5,6,1
4,6,1
5,13,1
1,7,0
5,6,1
5,15,1
2,-2,0
1,-7,0
3,1,0
3,2,0
1,0,0
1,-16,0
1,-4,0
1,-13,0
1,-21,0
1,7,0
1,2,0
1,-16,0
5,4,0
3,-6,0
2,-4,0
3,8,1
5,2,0
3,-1,0
2,3,0
2,4,0
3,1,0
3,11,1
3,0,0
5,0,0
4,3,0
4,14,1
2,1,0
3,21,1
2,3,0
5,11,1
5,8,1
2,-1,0
3,3,0
3,-3,0
5,10,1
5,8,1
2,14,0
1,9,0
4,5,0
4,9,1
3,5,0
1,-10,0
1,-3,0
4,15,1
2,12,0
2,-3,0
2,11,0
3,9,1
1,-3,0
1,-3,0
2,2,0
2,-1,0
3,24,1
4,3,0
2,0,0
1,-2,0
1,0,0
1,2,0
3,11,1
1,-3,0
1,9,0
4,13,1
1,5,0
1,-3,0
1,2,0
2,3,0
1,1,0
3,13,1
2,7,0
2,2,0
4,6,1
4,15,1
5,5,0
4,0,0
2,1,0
2,3,0
3,0,0
5,3,0
5,8,1
5,11,1
4,60,1
4,16,1
2,10,0
4,26,1
3,9,1
5,9,1
5,8,1
5,14,1
3,12,1
2,4,0
4,0,0
4,13,1
4,22,1
5,13,1
4,38,1
4,6,1
3,0,0
2,-11,0
1,2,0
3,2,0
3,3,0
5,4,0
5,18,1
5,18,1
5,7,1
5,18,1
5,6,1
5,13,1
2,11,0
5,10,1
3,8,1
1,-6,0
1,-2,0
3,1,0
3,3,0
4,1,0
4,11,1
5,5,0
3,20,1
4,8,1
4,7,1
3,17,1
5,4,0
2,0,0
2,19,0
1,0,0
3,2,0
5,7,1
2,20,0
